algorithmName;n;runTimeMicros;comparisons;depth;allocations
MergeSort;1000;2412;10384;6;3020
QuickSort;1000;1998;11503;6;3091
DeterministicSelect;1000;1782;7651;3;6992
ClosestPair;1000;14000;4823;9;0
MergeSort;2000;2513;22382;7;7040
QuickSort;2000;567;26135;6;6479
DeterministicSelect;2000;963;16219;3;14801
ClosestPair;2000;13978;11958;10;0
MergeSort;5000;1975;58298;9;22636
QuickSort;5000;4580;71930;8;17905
DeterministicSelect;5000;2518;40401;4;36715
ClosestPair;5000;9235;35056;11;0
MergeSort;10000;4194;126955;10;50272
QuickSort;10000;2100;156220;8;38082
DeterministicSelect;10000;6754;84169;4;76259
ClosestPair;10000;46425;83937;12;0
MergeSort;20000;9239;273811;11;110544
QuickSort;20000;2203;330057;9;81482
DeterministicSelect;20000;1805;170769;5;153836
ClosestPair;20000;20949;191985;13;0
